ID	forum	title
117	https://openreview.net/forum?id=EhyKlL8enT	Parallel Tempering Initial Sampling in Inference-Time Reward Alignment
118	https://openreview.net/forum?id=rERW1Fcj7D	Integrating Causal DAGs in Deep RL: Activating Minimal Markovian States with Multi-Order Exposure
119	https://openreview.net/forum?id=vT8PXfPDbc	OrthoBO: Orthogonal Bayesian Hyperparameter Optimization
120	https://openreview.net/forum?id=M0JxNfaIzz	Faster Inference for Conditional Masked Diffusion Language Models by Knowledge Distillation of Guidance and Trajectory
122	https://openreview.net/forum?id=rMdbcFhFo9	Midpoint Generative Models
123	https://openreview.net/forum?id=HZ2mgJ8OJs	A Structural View of Query Misspecification in Causal Foundation Models
124	https://openreview.net/forum?id=RFjug5yB1r	Scalable Differentially Private Data Compression via Diffusion and Stochastic Codes
125	https://openreview.net/forum?id=NzABkbZcpe	Deep Heteroskedastic Regression: Post-Hoc Variance Estimation from Latent Representations
126	https://openreview.net/forum?id=A6zrZmFpeQ	A Born Machine Approach to Controllable Text Generation with Language Models
127	https://openreview.net/forum?id=800BAMWkz0	FM-DeepRV: Deep Learning for Bayesian Inference with Flow Matching
128	https://openreview.net/forum?id=X0Bj1j4vbW	Strong Stochastic Flow Maps
130	https://openreview.net/forum?id=crjxPbBOz6	PRISM-SLAM: Probabilistic Ray-Grounded Inference for Scale-aware Metric SLAM
131	https://openreview.net/forum?id=AS8SOcPnmu	Unlocking the Duality between Flow and Field Matching
133	https://openreview.net/forum?id=xcZBWJZnqB	AMIGO: Adapters Meet Information Geometry
134	https://openreview.net/forum?id=dOMVRqql7D	Stop the Sampler! Classifier-Based Adaptive Stopping for Sampling Kernels
135	https://openreview.net/forum?id=M3wusJ6Mqo	CIRCUS: Circuit Consensus under Uncertainty via Stability Ensembles
136	https://openreview.net/forum?id=x0i3Y9kUzC	Applying Splat Regression Models to Particle Density Control in Radiance Fields
137	https://openreview.net/forum?id=RNKsDOred5	Synthesizability-Aware Materials Generation with Target Properties via Reinforcement Learning
138	https://openreview.net/forum?id=pIe1hoYLmL	Inverse problems with diffusion models: MAP estimation via mode-seeking loss
139	https://openreview.net/forum?id=pyTU2BPVOF	Your GFlowNet Secretly Learns an Optimal Transport Plan
140	https://openreview.net/forum?id=YvnMD2VHlX	Improving Conformal Prediction Sets Through Semantic Neighborhood Diffusion
141	https://openreview.net/forum?id=xFrSAUQzyQ	Residual-Space Evolutionary Optimization via Flow-based Generative Models
142	https://openreview.net/forum?id=PR0qctfpBR	Registers Matter for Pixel-space Diffusion Transformers
143	https://openreview.net/forum?id=6Bimeigk3P	A Mean-Field Framework for Inference-Time Distributional Control of Diffusion Models
144	https://openreview.net/forum?id=mKxTWhajn5	When are likely answers right? On Sequence Probability and Correctness in LLMs
146	https://openreview.net/forum?id=opXYpVQqfq	Structured Inference with Large Language Gibbs
147	https://openreview.net/forum?id=xjX5a5mApk	Amortised Inference through One-Step Implicit Sampling
148	https://openreview.net/forum?id=ZsThsDtfaA	Uncertainty Quantification for LLM Agents via Semantic Abstraction Trajectories
149	https://openreview.net/forum?id=A25moxOaKp	Exact Posterior Score Estimation for Solving Linear Inverse Problems
150	https://openreview.net/forum?id=yGv4RAAf8t	ReCache: Learning Budget-Aware Caching Schedules for Diffusion Models via REINFORCE
151	https://openreview.net/forum?id=5aR4IWuAmu	Towards Closing the Autoregressive Gap in Language Modeling via Entropy-Gated Continuous Bitstream Diffusion
152	https://openreview.net/forum?id=f1gwcTDwh9	Hacking Generative Perplexity: Why Unconditional Text Evaluation Needs Distributional Metrics
157	https://openreview.net/forum?id=3XZBfHxkS9	Efficient One-to-many Domain Translation via Diffusive Entropic Optimal Transport
158	https://openreview.net/forum?id=1Cca0BeFwM	RDDMPI: Residual Denoising Diffusion Model for Probabilistic Multivariate Time Series Imputation
